word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
jel	39.0	-3.8	32	35	109	13	3	3	3	278	27	1	1	1	3
glqs	39.0	-5.05	8	10	204	26	1	1	1	407	27	6	1	1	4
st$nj	39.0	-5.38	2	2	784	130	6	1	1	109	32	4	1	1	5
kqns5l	39.0	-6.1	4	4	535	61	15	3	1	278	27	3	2	1	6
jut@r@s	39.0	-7.52	0	0	109	12	5	2	1	407	74	8	3	1	7
kqps	39.0	-4.92	4	6	535	61	4	1	1	407	9	1	1	1	4
s#idp	39.0	-4.61	4	6	784	35	17	2	1	540	47	10	3	1	5
p{t	39.0	-3.34	52	59	400	51	5	5	5	751	27	1	1	1	3
t#p$lin	39.0	-8.28	0	0	323	24	1	1	1	484	158	23	1	1	7
r1v	39.0	-4.0	30	35	197	18	2	2	2	68	11	4	4	4	3
bib	39.0	-4.46	34	35	361	34	1	1	1	76	11	1	1	1	3
sr{pnp	39.0	-6.46	0	0	784	14	1	1	1	540	12	1	1	1	6
b#bikju	39.0	-7.07	0	0	361	32	4	2	2	86	31	3	1	1	7
kqnj{k	39.0	-7.1	0	0	535	61	15	3	1	298	24	2	1	1	6
jvtni	39.0	-6.0	0	0	109	10	1	1	1	195	16	1	1	1	5
