lang,length,cor.mp.f,cor.prob.f,cor.prob.mp,cor.mp.f.p,cor.prob.f.p,cor.prob.mp.p,cor.mp.f.lower,cor.prob.f.lower,cor.mp.f.upper,cor.prob.f.upper
hr,4,0.126918674964323,0.283983778902608,0.517300319639148,1.16353036504947e-06,1.90040199840262e-28,1.38893739639739e-100,0.0760768787977361,0.23608822323034,0.177102221707462,0.33050286221334
hr,5,0.195300089192952,0.264589635217186,0.506803875025696,7.58816728409068e-22,2.45494840932131e-39,3.47542381694757e-155,0.156306586602486,0.226781753202969,0.233685760677026,0.301601276926915
hr,6,0.284989437504933,0.211547498021101,0.415160134681565,3.39423574357828e-59,8.46368490886819e-33,7.31325037788551e-130,0.252369531613109,0.177721100768173,0.316962332770596,0.244874579896281
hr,7,0.265691191455006,0.211336547393463,0.364426947580751,7.03439264579321e-57,3.67633415587279e-36,6.1554266264121e-109,0.234412399831502,0.179243845116303,0.296420438979228,0.242979948539907
ht,3,0.275986431010634,0.307299232657723,0.597669314897603,3.2533903789782e-17,3.70438215001289e-21,2.37193764383785e-88,0.214541839028728,0.246943712460845,0.335255146964715,0.365279719823785
ht,4,0.145662550528556,0.149593783236731,0.589395470891639,4.98939015069549e-11,1.47238892975639e-11,6.87610356952735e-189,0.102658755375694,0.106633565345962,0.188122867935336,0.191996516323362
ht,5,0.132317518348034,0.168411155930473,0.521947970726584,6.80344355242014e-14,1.15960611398313e-21,8.95711652865319e-222,0.0980095058856787,0.134439355131577,0.166311397083379,0.201987545438709
ht,6,0.144474716668349,0.148670720313619,0.370911551195794,3.70716104482597e-19,3.32098021609292e-20,4.03081878141926e-124,0.113181524924636,0.117412649112239,0.175481562983963,0.17963449951399
ht,7,0.144446501906424,0.132501297178055,0.219703302726029,2.37330835033006e-17,8.06213987191374e-15,1.58767042149506e-38,0.111411043795536,0.0993675760619457,0.177163068903782,0.16534151108478
hu,3,0.093117981415083,0.286539402234882,0.516258928656583,0.0173922721455362,8.68424604181418e-14,1.07446654292878e-45,0.0164517304508819,0.214474301374994,0.168695694139726,0.355501674242728
hu,4,0.0867447890758276,0.282639644671815,0.441932746729593,0.00246592760372262,9.04899658550257e-24,2.69943690703045e-59,0.0306784383402743,0.230079390835458,0.142266984856124,0.333555777026745
hu,5,0.088176026723549,0.246457676256749,0.459209812652401,5.09926346064176e-05,1.6951821468297e-30,2.67473140608927e-110,0.0456243569408421,0.205902187239662,0.130408299076063,0.286168002697832
hu,6,0.135418887644386,0.253962598942277,0.419003239764793,3.80220433828811e-12,1.14454585032404e-39,2.10675287130248e-111,0.0975436039165966,0.217702404221524,0.172902479575788,0.289522713363914
hu,7,0.109082101982628,0.211777499106465,0.326484950063061,8.79086742420011e-09,2.00002287030512e-29,9.81747996458436e-70,0.0721122078598324,0.175902618248899,0.145752667701548,0.247090602323117
hy,3,0.147885317616014,0.165402169215315,0.571315763044413,0.000140536520257421,2.0066204321028e-05,2.82238867243591e-58,0.0722694327433251,0.0901085680416649,0.221810892895758,0.238815792037164
hy,4,0.172977907336649,0.194589041573374,0.54710105095628,1.7847402990907e-09,1.18710289306559e-11,3.58684338940117e-94,0.117398296337437,0.139396208036265,0.227477277289758,0.248576593203915
hy,5,0.142938990276219,0.192750194029926,0.485793494452578,9.05280219357941e-10,1.08349753084191e-16,2.08518295345602e-108,0.0976324140454995,0.148114159510234,0.187654326701066,0.236602535905544
hy,6,0.143744975063182,0.201687357581209,0.444893286080714,4.23736084566568e-12,1.48314477531237e-22,2.60677186352666e-112,0.103498570259617,0.162169388064903,0.183521438587984,0.240559410752523
hy,7,0.101639748907719,0.179234106972056,0.337275105549356,3.60794749638059e-07,1.82659715787979e-19,1.87937063161953e-67,0.0626554787374864,0.140991447638535,0.140314335241127,0.216942670226739
ia,3,0.28787734707904,0.31561837550896,0.563336768946752,7.97742039854361e-15,1.17685584304838e-17,7.29916603216729e-60,0.218434259997001,0.247299426165594,0.354419524469814,0.380814641783725
ia,4,0.138034493348626,0.263840808443741,0.534022194739036,1.02359939452663e-06,2.94657271763622e-21,1.20954218572496e-92,0.0830924981315618,0.211360759414607,0.192139889611101,0.314803952766516
ia,5,0.187771917560016,0.267187273685059,0.540757086737307,1.75317579862176e-19,1.8612439264987e-38,8.16003328763777e-173,0.147798882751616,0.228584254635266,0.227132491803438,0.304951388211958
ia,6,0.185359112776877,0.261152655053288,0.395434962565363,6.18724865260603e-22,1.28203561523561e-42,5.09974833088443e-100,0.148350241046973,0.22533678834516,0.221849527867969,0.296263633206101
ia,7,0.193830725877859,0.221355959826354,0.291247267264127,3.25767454731811e-26,7.17854007832013e-34,2.02404770525407e-58,0.158745395755926,0.186652418355084,0.228427133308003,0.255507770126029
id,3,0.169185621202821,0.232037021068127,0.653280596772642,4.8345525694601e-08,4.9331671131026e-14,3.99184932090313e-126,0.109172323108673,0.173353826893634,0.22797002206283,0.289078390035895
id,4,0.189977013981129,0.19156845078407,0.617784459069752,5.15042041346831e-18,2.68979768271653e-18,8.46133698838957e-215,0.147775703369322,0.149390785756718,0.231487795491801,0.233050239990091
id,5,0.139991524655325,0.223186441332221,0.554882356920859,2.64623105766821e-14,2.03176237418979e-34,1.88982027533403e-236,0.104321010424474,0.188510277756812,0.175302335565738,0.2573067866502
id,6,0.13651118718516,0.251150985896591,0.460638474365085,2.33993513699749e-13,2.39537278146187e-42,4.50381013088698e-150,0.100342203740217,0.2164734124327,0.172319847464291,0.285195625486158
id,7,0.133059716412043,0.24837161262463,0.432812133457992,6.16017084657229e-13,4.74885960192242e-42,8.16999321665627e-133,0.0971442148583748,0.213919018772142,0.168629124673454,0.28220707327519
io,3,0.161776480024546,0.225832635338248,0.547435433030689,0.000123924519498887,6.94926540212326e-08,6.0332600905742e-45,0.0798442214817778,0.145556691319043,0.241537494958682,0.303154393587962
io,4,0.159658034716945,0.148781091860626,0.601286678860272,1.46974577768798e-10,2.41970685320443e-09,3.17877683693282e-157,0.111418307648535,0.100401342167853,0.207147118823335,0.196458934814153
io,5,0.228030244108034,0.219153552461133,0.592789428121621,3.17960827572923e-34,1.11727607434499e-31,2.49266906673843e-264,0.192544114227637,0.183530670310018,0.262920740799517,0.254201594222605
